,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
103,Ayagoz,KZ,47.97,80.44,1601717022,56.73,35,0,4.88
104,Pontianak,ID,-0.03,109.33,1601717023,84.36,74,100,6.44
105,Sitka,US,57.05,-135.33,1601717023,53.6,93,90,4.7
106,Salisbury,GB,51.07,-1.8,1601716979,55.99,100,100,13.96
107,Mahébourg,MU,-20.41,57.7,1601717024,82.4,51,20,11.41
108,Bathsheba,BB,13.22,-59.52,1601717025,77.0,88,75,13.87
109,Pevek,RU,69.7,170.31,1601717026,32.61,88,100,2.59
110,Ulladulla,AU,-35.35,150.47,1601717026,66.99,59,0,5.82
111,Asbestovskiy,RU,57.76,61.4,1601717027,50.13,67,87,11.18
112,Mitsamiouli,KM,-11.38,43.28,1601717028,84.2,70,75,6.93
113,Chaska,US,44.79,-93.6,1601717029,42.01,65,90,4.7
114,Bredasdorp,ZA,-34.53,20.04,1601717030,60.8,87,100,14.99
115,Cockburn Town,TC,21.46,-71.14,1601717030,82.53,79,100,21.97
116,Busselton,AU,-33.65,115.33,1601717031,60.01,36,37,13.24
117,Mahibadhoo,MV,3.78,72.97,1601717032,82.33,73,100,11.54
118,Ossora,RU,59.24,163.07,1601717032,38.95,72,0,8.66
119,Chui,UY,-33.7,-53.46,1601717033,47.39,74,53,13.96
120,Kidal,ML,18.44,1.41,1601717034,92.39,32,29,9.66
121,Nikolskoye,RU,59.7,30.79,1601717034,62.01,71,27,8.95
122,Melilla,ES,35.29,-2.94,1601717035,66.2,52,21,20.8
123,Isangel,VU,-19.55,169.27,1601717035,69.8,94,20,5.82
124,Constitución,CL,-35.33,-72.42,1601717036,44.24,71,0,7.16
125,Muncar,ID,-8.43,114.33,1601717037,82.38,74,46,8.79
126,Meulaboh,ID,4.14,96.13,1601717037,82.29,75,100,3.22
127,Jamestown,US,42.1,-79.24,1601717038,42.01,100,20,3.36
128,Kamaishi,JP,39.27,141.88,1601717038,66.2,88,75,4.7
129,Luebo,CD,-5.35,21.42,1601717039,92.34,45,100,1.45
130,Adrar,MR,20.5,-10.07,1601717040,82.96,24,0,11.01
131,Barabai,ID,-2.58,115.38,1601717041,89.78,51,76,4.03
132,Gwadar,PK,25.12,62.33,1601717042,94.82,28,0,6.24
133,Atar,MR,20.52,-13.05,1601717042,78.8,44,0,16.11
134,Butaritari,KI,3.07,172.79,1601717043,81.84,68,99,7.34
135,Khatanga,RU,71.97,102.5,1601717044,26.47,97,96,10.16
136,Sovetskiy,RU,61.36,63.58,1601717045,42.04,64,93,14.45
137,Son La,VN,21.32,103.9,1601717045,83.07,75,98,3.22
138,Vardø,NO,70.37,31.11,1601717046,48.36,87,95,14.5
139,Havøysund,NO,71.0,24.66,1601717046,53.6,71,1,19.46
140,Touros,BR,-5.2,-35.46,1601716998,71.6,94,20,3.36
141,Tilichiki,RU,60.47,166.1,1601717047,31.3,90,0,10.74
142,Iracoubo,GF,5.48,-53.2,1601717048,78.85,86,14,10.16
143,Poum,NC,-20.23,164.02,1601717049,71.8,76,54,19.48
144,Maniitsoq,GL,65.42,-52.9,1601717050,33.8,85,100,3.09
145,Road Town,VG,18.42,-64.62,1601717050,80.6,74,20,9.17
146,Chokurdakh,RU,70.63,147.92,1601717051,27.68,87,30,11.27
147,Kosh-Agach,RU,50.0,88.67,1601717052,44.62,47,0,1.01
148,Dhārchula,IN,29.85,80.53,1601717052,81.36,32,0,6.49
149,Ust-Nera,RU,64.57,143.2,1601717053,26.4,80,0,6.6
150,San Cristobal,VE,7.77,-72.22,1601717054,63.81,82,11,2.15
151,Srednekolymsk,RU,67.45,153.68,1601717054,29.08,91,63,4.03
152,Serebryansk,KZ,49.69,83.29,1601717055,53.6,54,0,4.47
153,Kununurra,AU,-15.77,128.73,1601717055,93.2,38,91,5.82
154,Luanda,AO,-8.84,13.23,1601716962,78.8,65,75,3.36
155,Qaanaaq,GL,77.48,-69.36,1601717057,22.46,84,80,6.06
156,Cabo San Lucas,MX,22.89,-109.91,1601717023,78.01,75,0,1.99
157,Qarqīn,AF,37.42,66.04,1601717058,79.81,15,0,3.74
158,Scarborough,GB,54.28,-0.4,1601717059,55.99,95,100,3.0
159,Baruun-Urt,MN,46.68,113.28,1601717060,34.25,83,99,15.52
160,Dawson Creek,CA,55.77,-120.24,1601717060,41.0,93,1,4.23
161,Saint-Philippe,RE,-21.36,55.77,1601717061,80.6,69,75,8.05
162,Borgarnes,IS,64.54,-21.92,1601717062,36.0,86,100,4.7
163,Ahipara,NZ,-35.17,173.17,1601717062,53.26,80,7,2.33
164,Akşehir,TR,38.36,31.42,1601717063,70.68,25,0,3.58
165,Belyy Yar,RU,53.6,91.39,1601717063,48.2,45,34,6.71
166,Beruwala,LK,6.48,79.98,1601717064,82.2,79,99,11.86
167,Cabedelo,BR,-6.98,-34.83,1601717065,73.4,94,75,5.82
168,Leningradskiy,RU,69.38,178.42,1601717065,32.16,95,100,11.25
169,Outlook,CA,51.5,-107.05,1601717066,42.01,75,5,1.99
170,Shingū,JP,33.73,135.98,1601717067,75.2,73,75,6.93
171,Ongandjera,NA,-17.88,15.07,1601717068,83.64,13,98,5.03
172,Richards Bay,ZA,-28.78,32.04,1601717069,64.27,91,100,6.33
173,Tasiilaq,GL,65.61,-37.64,1601717070,32.0,96,72,5.82
174,Vila Franca do Campo,PT,37.72,-25.43,1601717070,68.0,77,40,9.17
175,Zaranj,AF,30.97,61.88,1601717071,93.2,13,0,24.16
176,Shellbrook,CA,53.22,-106.4,1601717072,39.2,93,75,2.98
177,Pisco,PE,-13.7,-76.22,1601717072,60.01,93,61,8.05
178,Parkhill,CA,43.15,-81.68,1601717073,42.01,84,100,6.02
179,Namtsy,RU,62.72,129.67,1601717073,33.8,64,67,4.47
180,Kruisfontein,ZA,-34.0,24.73,1601717074,60.01,86,100,7.0
181,Port Maria,JM,18.37,-76.89,1601717075,82.4,74,40,26.4
182,Tuktoyaktuk,CA,69.45,-133.04,1601717075,41.85,86,100,15.19
183,Sept-Îles,CA,50.2,-66.38,1601717024,45.0,100,75,4.7
184,Béboto,TD,8.27,16.94,1601717076,85.75,66,0,2.93
185,Kostomuksha,RU,64.57,30.58,1601717077,45.19,93,100,8.95
186,Emerald,AU,-23.53,148.17,1601717078,80.6,30,0,17.22
187,Birao,CF,10.28,22.79,1601717078,85.64,65,57,4.79
188,Saint-Augustin,CA,51.23,-58.65,1601717079,49.91,94,21,8.86
189,Hibbing,US,47.43,-92.94,1601716908,30.2,92,90,3.11
190,Tura,IN,25.52,90.22,1601717080,84.42,75,33,4.36
191,Kahului,US,20.89,-156.47,1601717081,78.8,74,75,6.93
192,Kodinsk,RU,58.69,99.18,1601717081,41.27,69,99,7.76
193,Nyurba,RU,63.28,118.33,1601717082,35.69,77,4,8.34
194,Saint Paul Harbor,US,57.79,-152.41,1601717083,48.2,70,75,14.99
195,Laas,IT,46.62,10.7,1601717083,60.01,100,90,9.17
196,Makkah al Mukarramah,SA,21.43,39.83,1601717084,102.4,18,0,11.5
197,Hays,US,30.05,-98.03,1601717084,60.01,81,0,6.46
198,Utiel,ES,39.57,-1.2,1601717085,55.99,53,4,4.0
199,Skjervøy,NO,70.03,20.97,1601716927,51.37,75,0,9.42
200,Kudahuvadhoo,MV,2.67,72.89,1601717087,81.41,76,100,13.8
201,Rūdbār,AF,30.15,62.6,1601717087,92.43,11,0,20.38
202,Tabou,CI,4.42,-7.35,1601717088,78.39,86,100,9.57
203,Fortuna,US,40.6,-124.16,1601717088,55.0,96,0,1.74
204,Kondoa,TZ,-4.9,35.78,1601717089,86.04,20,90,9.98
205,Lebu,CL,-37.62,-73.65,1601717090,43.41,80,53,4.74
206,Portland,US,45.52,-122.68,1601716919,59.0,93,90,4.7
207,Inhambane,MZ,-23.86,35.38,1601717091,82.4,61,75,13.87
208,Raudeberg,NO,61.99,5.14,1601717091,63.0,63,100,5.82
209,Enterprise,US,36.03,-115.24,1601717027,72.0,12,1,2.1
210,San Policarpo,PH,12.18,125.51,1601717092,83.41,78,77,6.33
211,Barrow,US,71.29,-156.79,1601716860,33.8,100,90,12.75
212,Tandil,AR,-37.32,-59.13,1601717094,30.33,97,0,7.09
213,Dauphin,CA,51.15,-100.05,1601717095,33.8,100,1,9.17
214,Upernavik,GL,72.79,-56.15,1601717095,34.59,88,100,13.91
215,Lavrentiya,RU,65.58,-171.0,1601717096,40.68,84,65,12.97
216,Nishihara,JP,26.18,127.76,1601717097,82.4,54,20,6.93
217,Namatanai,PG,-3.67,152.43,1601717097,80.91,80,87,7.9
218,Ribeira Grande,PT,38.52,-28.7,1601717098,71.6,68,75,5.82
219,Lucea,JM,18.45,-78.17,1601717098,77.0,88,20,2.24
220,Curillo,CO,1.03,-75.92,1601717099,69.84,97,92,1.63
221,Cairns,AU,-16.92,145.77,1601717100,75.2,60,40,19.46
222,Magugu,TZ,-4.02,35.77,1601717100,92.03,21,8,5.88
223,Bongor,TD,10.28,15.37,1601717101,83.52,73,100,6.29
224,Kaitangata,NZ,-46.28,169.85,1601717102,57.99,77,100,14.0
225,Hay River,CA,60.82,-115.8,1601717104,48.2,81,75,9.17
226,Murray Bridge,AU,-35.12,139.27,1601717104,72.0,59,99,6.87
227,Port Hedland,AU,-20.32,118.57,1601717105,95.0,17,65,24.16
228,Fairbanks,US,64.84,-147.72,1601716945,55.0,59,90,6.93
229,Beloha,MG,-25.17,45.05,1601717106,82.53,41,1,13.27
230,Olafsvik,IS,64.89,-23.71,1601717107,39.67,73,100,10.31
231,Ust-Kuyga,RU,70.02,135.6,1601717107,32.05,87,100,13.04
232,Chirongui,YT,-12.93,45.15,1601717108,84.2,70,34,8.05
233,Guerrero Negro,MX,27.98,-114.06,1601717109,73.78,66,0,6.02
234,Apucarana,BR,-23.55,-51.46,1601717109,78.8,39,13,1.12
235,Kumul,CN,42.8,93.45,1601717110,66.4,21,41,1.39
236,Pimentel,PE,-6.84,-79.93,1601717110,60.73,92,68,9.55
237,Santa Cruz de la Sierra,BO,-17.8,-63.17,1601717086,71.6,88,5,5.44
238,Durg,IN,21.18,81.28,1601716877,90.99,41,9,5.99
239,Faanui,PF,-16.48,-151.75,1601717112,78.19,79,20,18.12
240,Marawi,PH,8.0,124.29,1601717113,82.99,80,97,3.0
241,Kolvereid,NO,64.87,11.6,1601717113,55.4,71,3,21.92
242,Kysyl-Syr,RU,63.9,122.76,1601717114,33.62,82,41,7.58
243,Seymchan,RU,62.88,152.43,1601717115,34.79,84,0,4.09
244,Bengkulu,ID,-3.8,102.27,1601717116,83.1,70,97,6.58
245,Chadan,RU,51.28,91.58,1601717116,48.72,45,19,4.43
246,Kalmunai,LK,7.42,81.82,1601717117,87.98,58,81,11.39
247,Bontang,ID,0.13,117.5,1601717118,83.75,78,100,7.11
248,Hualmay,PE,-11.1,-77.61,1601717118,60.73,88,61,7.63
249,Bandarbeyla,SO,9.49,50.81,1601717119,83.37,67,68,13.89
250,Hithadhoo,MV,-0.6,73.08,1601716871,83.1,75,73,12.93
251,Jinan,CN,36.67,117.0,1601717120,66.99,53,97,1.01
252,Locri,IT,38.24,16.26,1601717121,78.8,78,71,23.04
253,Lima,PE,-12.04,-77.03,1601717088,60.8,87,90,4.7
254,Klaksvík,FO,62.23,-6.59,1601717122,50.0,87,99,19.46
255,Chumikan,RU,54.72,135.31,1601717122,48.85,81,100,17.07
256,Itarema,BR,-2.92,-39.92,1601717123,77.83,76,23,15.79
257,Talara,PE,-4.58,-81.27,1601717123,63.48,85,98,15.03
258,Tiznit Province,MA,29.58,-9.5,1601717124,65.59,66,8,4.41
259,Carauari,BR,-4.88,-66.9,1601716885,73.8,81,9,1.79
260,New Norfolk,AU,-42.78,147.06,1601717125,55.99,76,100,4.0
261,Aksu,CN,41.12,80.26,1601717126,69.67,23,69,3.24
262,Ubari,LY,26.59,12.78,1601717126,95.32,10,0,20.22
263,Chapais,CA,49.78,-74.85,1601717127,28.4,92,75,3.87
264,Tromsø,NO,69.65,18.96,1601717128,50.0,76,0,18.34
265,Ponta do Sol,PT,32.67,-17.1,1601717129,73.0,73,40,12.75
266,Challapata,BO,-18.9,-66.77,1601717129,46.09,75,32,0.81
267,Severobaykal'sk,RU,55.65,109.32,1601717130,38.86,65,0,4.18
268,Janaúba,BR,-15.8,-43.31,1601717131,66.2,65,16,3.42
269,Brae,GB,60.4,-1.35,1601717131,55.4,93,75,23.04
270,Santa Vitória do Palmar,BR,-33.52,-53.37,1601717132,47.84,75,60,13.09
271,Mahanoro,MG,-19.9,48.8,1601717133,79.32,69,76,8.68
272,Belūsovka,KZ,50.13,82.52,1601717133,53.6,54,0,4.47
273,Manokwari,ID,-0.87,134.08,1601717134,82.83,73,86,3.06
274,Bilma,NE,18.69,12.92,1601717135,98.89,19,0,3.96
275,Shenjiamen,CN,29.96,122.3,1601717135,75.78,87,1,8.61
276,Itaberaí,BR,-16.02,-49.81,1601717136,72.1,29,16,3.15
277,Sabha,LY,27.04,14.43,1601717137,98.94,9,43,25.64
278,Okha,RU,53.57,142.95,1601717138,49.35,83,100,15.55
279,Plettenberg Bay,ZA,-34.05,23.37,1601717138,58.32,88,100,18.43
280,Cayenne,GF,4.93,-52.33,1601717139,73.4,100,20,2.24
281,Aklavik,CA,68.22,-135.01,1601717043,42.8,87,90,9.17
282,Eureka,US,40.8,-124.16,1601717140,55.0,100,90,1.88
283,Kavaratti,IN,10.57,72.64,1601717141,87.8,70,40,5.82
284,Alofi,NU,-19.06,-169.92,1601717142,77.0,94,87,8.05
285,Port Blair,IN,11.67,92.75,1601716986,80.35,78,100,13.2
286,Coahuayana Viejo,MX,18.73,-103.68,1601717143,72.82,57,0,5.41
287,Pierre,US,44.37,-100.35,1601717144,44.01,87,90,5.26
288,Souillac,MU,-20.52,57.52,1601717144,82.4,51,20,11.41
289,Xiongzhou,CN,25.12,114.3,1601717145,88.27,66,34,2.1
290,Roald,NO,62.58,6.13,1601717145,63.0,51,0,12.75
291,Barreirinhas,BR,-2.75,-42.83,1601717146,79.93,70,81,13.02
292,Banganapalle,IN,15.32,78.23,1601717146,90.05,54,85,11.88
293,Horqueta,PY,-23.34,-57.06,1601717147,76.12,53,7,3.33
294,Dori,BF,14.04,-0.03,1601717148,87.57,47,49,9.06
295,Omboué,GA,-1.57,9.26,1601717148,80.11,73,100,3.02
296,Clovis,US,36.83,-119.7,1601717004,71.6,56,90,3.36
297,Tooele,US,40.53,-112.3,1601716966,57.0,49,1,6.93
298,Iqaluit,CA,63.75,-68.51,1601717150,30.2,80,90,2.24
299,Oktyabr'skiy,RU,54.48,53.47,1601717151,62.94,58,0,7.38
300,Santa Lucía,ES,27.91,-15.54,1601717152,75.2,64,75,18.34
301,Cap Malheureux,MU,-19.98,57.61,1601717152,82.4,51,20,11.41
302,Swan Hill,AU,-35.34,143.55,1601717153,72.77,37,20,8.75
303,Celestún,MX,20.87,-90.4,1601717154,79.16,83,97,24.92
304,Rabat,MA,33.99,-6.84,1601717154,68.0,60,75,9.17
305,Paripiranga,BR,-10.69,-37.86,1601717155,65.21,96,9,3.94
306,Tucumã,BR,-0.18,-50.05,1601717156,77.27,86,7,5.53
307,Korla,CN,41.76,86.15,1601717156,67.05,22,96,7.78
308,Bambanglipuro,ID,-7.95,110.28,1601717157,86.0,58,33,16.08
309,Thinadhoo,MV,0.53,72.93,1601717158,82.76,74,100,14.58
310,Canavieiras,BR,-15.68,-38.95,1601717158,70.12,87,56,2.46
311,Strezhevoy,RU,60.73,77.59,1601717159,48.2,87,75,8.95
312,Barillas,GT,15.8,-91.32,1601717159,59.74,92,86,1.59
313,Dali,CN,25.7,100.18,1601717160,74.1,65,30,6.78
314,Merauke,ID,-8.47,140.33,1601717106,80.55,77,100,12.84
315,Miracatu,BR,-24.28,-47.46,1601717161,71.37,88,100,3.13
316,Spencer,US,43.14,-95.14,1601717162,44.6,65,90,4.7
317,Bondoukou,CI,8.03,-2.8,1601717162,73.33,92,100,3.96
318,Deputatsky,RU,69.3,139.9,1601717163,23.34,94,100,12.86
319,Coquimbo,CL,-29.95,-71.34,1601717164,46.4,87,0,3.36
320,Patrocínio,BR,-18.94,-46.99,1601717164,68.86,34,41,3.47
321,Narsaq,GL,60.92,-46.05,1601717165,37.4,86,75,0.63
322,Goundi,TD,9.36,17.37,1601717166,85.93,65,46,3.71
323,Tirumullaivāsal,IN,11.23,79.83,1601717166,91.89,57,38,9.8
324,Labuan,MY,5.28,115.24,1601717167,84.0,83,20,3.36
325,Kutum,SD,14.2,24.67,1601717168,86.7,32,0,7.76
326,Igarka,RU,67.47,86.58,1601717168,33.67,95,100,14.45
327,Saint-François,FR,46.42,3.91,1601717169,57.2,62,78,16.11
328,Port-Gentil,GA,-0.72,8.78,1601717169,84.2,70,75,10.29
329,Hambantota,LK,6.12,81.12,1601717170,91.4,63,40,21.92
330,Ifanadiana,MG,-21.3,47.63,1601717171,77.81,64,66,5.17
331,Arraial do Cabo,BR,-22.97,-42.03,1601717171,73.4,94,1,8.05
332,Esso,RU,55.93,158.7,1601717172,34.56,84,0,4.85
333,São Mateus do Maranhão,BR,-4.04,-44.48,1601717172,74.35,88,100,2.73
334,Poronaysk,RU,49.22,143.12,1601717173,56.19,92,100,16.8
335,Nampula,MZ,-15.12,39.27,1601717174,89.6,35,13,4.7
336,Kilindoni,TZ,-7.91,39.67,1601717174,80.74,67,37,5.97
337,Beringovskiy,RU,63.05,179.32,1601717176,39.29,89,100,24.16
338,Vacaria,BR,-28.51,-50.93,1601717177,57.0,82,98,8.99
339,Severnyy,RU,50.68,36.55,1601717177,64.4,34,58,13.42
340,Mayo,US,38.89,-76.51,1601717178,55.4,81,1,8.05
341,Mount Isa,AU,-20.73,139.5,1601717179,86.0,14,66,6.93
342,Homer,US,59.64,-151.55,1601717179,51.01,73,100,8.01
343,Kralendijk,BQ,12.15,-68.27,1601717180,82.4,83,81,13.87
344,Belawan,ID,3.78,98.68,1601717181,81.01,77,100,6.89
345,Padang,ID,-0.95,100.35,1601717181,83.12,65,84,4.61
346,Geelong,AU,-38.15,144.36,1601717111,66.99,72,96,14.99
347,Zabid,YE,14.2,43.32,1601717183,98.73,27,0,11.16
348,Mahina,PF,-17.51,-149.49,1601717184,77.0,83,40,3.36
349,Dombarovskiy,RU,50.76,59.54,1601717184,62.62,38,0,8.08
350,West Wendover,US,40.74,-114.07,1601717185,51.8,34,1,3.71
351,Kisangani,CD,0.52,25.2,1601717185,89.26,51,40,2.57
352,Santiago del Estero,AR,-27.8,-64.26,1601717089,55.15,74,99,16.11
353,Waingapu,ID,-9.66,120.26,1601717186,87.21,43,29,12.03
354,Saint Augustine,US,29.89,-81.31,1601716935,64.99,88,20,6.93
355,Kiryat Gat,IL,31.61,34.76,1601717188,82.99,59,0,1.99
356,Ancud,CL,-41.87,-73.82,1601717188,37.99,75,0,6.93
357,Oga,IT,46.46,10.35,1601717189,62.01,93,90,10.29
358,Wanning,CN,18.8,110.4,1601717189,84.16,80,91,7.09
359,Grand Gaube,MU,-20.01,57.66,1601717190,82.4,51,20,11.41
360,Malbork,PL,54.04,19.03,1601717191,63.0,100,76,18.59
361,Yulara,AU,-25.24,130.99,1601717192,95.0,6,0,16.11
362,Monrovia,LR,6.3,-10.8,1601717192,79.66,82,100,9.22
363,Erzin,TR,36.96,36.2,1601717193,79.0,67,0,5.66
364,Polunochnoye,RU,60.87,60.42,1601717193,44.44,59,68,9.75
365,Santiago,CL,-33.46,-70.65,1601717151,45.0,56,0,4.7
366,Chicama,PE,-7.84,-79.15,1601717196,62.4,84,73,3.69
367,Businga,CD,3.33,20.88,1601717196,88.48,47,92,2.06
368,Zhigansk,RU,66.77,123.37,1601717197,33.46,89,100,15.32
369,Yar-Sale,RU,66.83,70.83,1601717197,37.63,72,83,21.39
370,Evensk,RU,61.95,159.23,1601717198,35.82,83,40,1.72
371,Bud,US,39.45,-86.18,1601717199,45.0,75,90,3.94
372,Sydney Mines,CA,46.24,-60.22,1601717199,59.0,100,90,5.82
373,Husavik,IS,66.04,-17.34,1601717200,32.0,90,75,3.36
